epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,980.601,1.44347,1.00125,1.07556,0.98989,0.78688,0.96849,0.56601,1.40192,1.93366,1.06834,0.000622041,0.000622041,0.000622041
87,991.862,1.44463,1.02115,1.11032,0.98989,0.78688,0.96849,0.56601,1.40192,1.93366,1.06834,0.000619897,0.000619897,0.000619897
88,1003.42,1.45323,0.98946,1.07941,0.99254,0.79269,0.97312,0.56455,1.4348,1.90929,1.08851,0.000617533,0.000617533,0.000617533
89,1014.77,1.45485,0.98992,1.07804,0.99254,0.79269,0.97312,0.56455,1.4348,1.90929,1.08851,0.00061495,0.00061495,0.00061495
90,1026.29,1.57304,1.08581,1.13075,0.99254,0.79269,0.97312,0.56455,1.4348,1.90929,1.08851,0.000612146,0.000612146,0.000612146
91,1037.48,1.46139,0.98037,1.12759,0.99254,0.79269,0.97312,0.56455,1.4348,1.90929,1.08851,0.000609122,0.000609122,0.000609122
92,1048.87,1.37996,0.9448,1.09812,0.97152,0.85966,0.98053,0.60278,1.35443,1.70574,1.05692,0.000605878,0.000605878,0.000605878
93,1060.16,1.33504,0.92109,1.04764,0.97152,0.85966,0.98053,0.60278,1.35443,1.70574,1.05692,0.000602414,0.000602414,0.000602414
94,1071.77,1.38423,0.94047,1.04337,0.97152,0.85966,0.98053,0.60278,1.35443,1.70574,1.05692,0.00059873,0.00059873,0.00059873
95,1083.29,1.45113,0.94402,1.05949,0.97152,0.85966,0.98053,0.60278,1.35443,1.70574,1.05692,0.000594826,0.000594826,0.000594826
96,1094.47,1.42364,0.9583,1.09189,0.94162,0.94849,0.98423,0.61023,1.32628,1.4544,1.04804,0.000590701,0.000590701,0.000590701
97,1105.88,1.35953,0.93488,1.03597,0.94162,0.94849,0.98423,0.61023,1.32628,1.4544,1.04804,0.000586357,0.000586357,0.000586357
98,1117.37,1.42577,0.91992,1.01714,0.94162,0.94849,0.98423,0.61023,1.32628,1.4544,1.04804,0.000581793,0.000581793,0.000581793
99,1128.55,1.47514,0.99933,1.11497,0.94162,0.94849,0.98423,0.61023,1.32628,1.4544,1.04804,0.000577009,0.000577009,0.000577009
100,1139.98,1.34561,0.8914,1.04461,0.97662,0.96199,0.9905,0.60832,1.33147,1.33814,1.06745,0.000572004,0.000572004,0.000572004
101,1151.03,1.29242,0.88687,1.07083,0.97662,0.96199,0.9905,0.60832,1.33147,1.33814,1.06745,0.00056678,0.00056678,0.00056678
102,1162.57,1.35885,0.89412,1.04622,0.97662,0.96199,0.9905,0.60832,1.33147,1.33814,1.06745,0.000555778,0.000555778,0.000555778
103,1173.8,1.32311,0.88852,1.06179,0.97662,0.96199,0.9905,0.60832,1.33147,1.33814,1.06745,0.000544776,0.000544776,0.000544776
